0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:43:31 -0400] "GET /juddi-gui/js/tmodelsearch.js HTTP/1.1" 200 4513
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:43:31 -0400] "GET /juddi-gui/js/tmodelChooser.js HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:43:31 -0400] "GET /juddi-gui/js/serviceEditor.js HTTP/1.1" 200 11437
127.0.0.1 - - [24/Oct/2019:14:43:31 -0400] "POST /juddiv3/services/inquiry HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:43:31 -0400] "GET /juddi-gui/ajax/opInfo.jsp?id=uddi:juddi.apache.org:services-inquiry HTTP/1.1" 200 429
127.0.0.1 - - [24/Oct/2019:14:43:31 -0400] "POST /juddiv3/services/inquiry HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:43:31 -0400] "GET /juddi-gui/ajax/tmodelsearch.jsp?keyword=%25&offset=0&maxrecords=10&lang=&chooser=undefined&_=1571942611377 HTTP/1.1" 200 2796
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:43:51 -0400] "GET /juddi-gui/serviceBrowse.jsp HTTP/1.1" 200 21961
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:43:51 -0400] "GET /juddi-gui/js/i18n.js.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:43:51 -0400] "GET /juddi-gui/js/serviceBrowse.js HTTP/1.1" 200 3695
127.0.0.1 - - [24/Oct/2019:14:43:52 -0400] "POST /juddiv3/services/inquiry HTTP/1.1" 200 3232
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:43:52 -0400] "GET /juddi-gui/ajax/servicesearch.jsp?keyword=%25&offset=%5Bobject%20HTMLSpanElement%5D&maxrecords=20&lang=&_=1571942631665 HTTP/1.1" 200 5500
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:46:22 -0400] "GET /juddiv3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:46:23 -0400] "GET /juddiv3/ HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:46:23 -0400] "GET /juddiv3/juddi.css HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [24/Oct/2019:14:46:23 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Oct/2019:15:02:15 -0400] "GET /juddiv3/admin HTTP/1.1" 401 1034
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:29 -0400] "GET /juddiv3/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:29 -0400] "GET /juddiv3/admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/home.jsp HTTP/1.1" 200 8397
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/css/bootstrap.min.css HTTP/1.1" 200 105948
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/css/bootstrap-responsive.min.css HTTP/1.1" 200 16858
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/css/font-awesome.min.css HTTP/1.1" 200 15757
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/jquery-1.9.1.js HTTP/1.1" 200 277978
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/css/ui-lightness/jquery-ui-1.10.2.custom.min.css HTTP/1.1" 200 16785
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/css/bootstrap-timepicker.min.css HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/css/bootstrap-modal.css HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 29061
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/bootstrap.min.js HTTP/1.1" 200 28423
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/bootstrap-timepicker.min.js HTTP/1.1" 200 14284
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/bootstrap-modalmanager.js HTTP/1.1" 200 11060
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/bootstrap-modal.js HTTP/1.1" 200 9618
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/jquery.jeditable.js HTTP/1.1" 200 24938
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/main.js HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/jquery-ui-1.10.2.custom.min.js HTTP/1.1" 200 30589
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/js/i18n.js.jsp HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/img/logo2.png HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/font/fontawesome-webfont.woff?v=3.0.1 HTTP/1.1" 200 29380
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:02:30 -0400] "GET /juddiv3/admin/favicon.ico HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/configure.jsp HTTP/1.1" 200 46751
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/css/ui-lightness/jquery-ui-1.10.2.custom.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/css/bootstrap-timepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/css/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/css/bootstrap-modal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/jquery-1.9.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/bootstrap-modalmanager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/bootstrap-modal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/bootstrap-timepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/i18n.js.jsp HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/jquery-ui-1.10.2.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/jquery.jeditable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/bootstrap-datetimepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:04:09 -0400] "GET /juddiv3/admin/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/stats.jsp HTTP/1.1" 200 20978
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/css/bootstrap-modal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/js/jquery-1.9.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/css/ui-lightness/jquery-ui-1.10.2.custom.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/js/bootstrap-timepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/js/bootstrap-modalmanager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/css/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - uddiadmin [24/Oct/2019:15:05:47 -0400] "GET /juddiv3/admin/js/i18n.js.jsp HTTP/1.1" 200 3063
